date,sh.600843.csv,sh.600863.csv,sh.600867.csv,sh.600143.csv,sz.000796.csv,sh.600352.csv,sh.600016.csv,sh.600133.csv,sz.000776.csv,sz.300740.csv
2007-09-27,9.2166627,2.54467861,2.06168573,8.21991456,7.22588445,3.83069844,4.13805756,5.68379823,3.85831435,
2007-09-28,9.29594582,2.63566831,2.15275791,8.2869768,7.30518085,3.8287095,4.33837467,5.70426195,3.85831435,
2007-10-08,9.27612504,2.74485595,2.22027694,8.2151244,7.44394955,3.79290858,4.4728341,5.627523,3.85831435,
2007-10-09,9.44460167,2.7903508,2.28308534,8.1073458,7.72148695,3.8585436,4.57710876,5.65310265,3.85831435,
2007-10-10,9.23648348,2.70239409,2.21085568,8.30134728,7.5133339,3.79489752,4.57710876,5.55589998,3.85831435,
2007-10-11,8.919351,2.61443738,2.19044295,8.8378452,7.1961483,3.6298155,4.76919366,5.33079906,3.85831435,
2007-10-12,8.48329384,2.59320645,2.06639636,8.52408972,6.7600181,3.5602026,4.61278167,5.12104593,3.85831435,
2007-10-15,8.54275618,2.68419615,2.02714111,8.51929956,6.7996663,3.65368278,4.51673922,5.21313267,3.85831435,
2007-10-16,8.65177047,2.59927243,2.08052825,8.861796,7.0375555,3.57611412,4.6100376,5.17732116,3.85831435,
2007-10-17,8.4238315,2.53861263,2.10094098,8.742042,7.0177314,3.57213624,4.49753073,5.19778488,3.85831435,
2007-10-18,8.4238315,2.51434871,2.09151972,8.53367004,6.88887475,3.61788186,4.3630713,4.97779989,3.85831435,
2007-10-19,8.25535487,2.51434871,2.03970279,8.33727348,6.8393145,3.74318508,4.33288653,4.97779989,3.85831435,
2007-10-22,7.94813278,2.40212808,2.03970279,8.04986388,6.6212494,3.72130674,4.24233222,4.73223525,3.85831435,
2007-10-23,8.03732629,2.38696313,2.11350266,8.37798984,6.5221289,3.580092,4.40148828,5.20801674,3.85831435,
2007-10-24,7.71028342,2.38393014,2.03656237,8.34206364,6.43292045,3.47865606,4.36855944,5.29498755,3.85831435,
2007-10-25,6.937273,2.48098582,1.83243507,7.61395932,5.91749385,3.26385054,4.22861187,4.76804676,3.85831435,
2007-10-26,7.02646651,2.40516107,1.73037142,7.424748,5.9868782,3.32550768,4.42618491,4.38946794,3.85831435,
2007-10-29,7.08592885,2.38999612,1.73508205,7.19003016,5.91749385,3.3911427,4.57710876,4.42527945,3.85831435,
2007-10-30,7.26431587,2.46582087,1.77747772,7.72173792,6.51221685,3.39512058,4.61552574,4.49178654,3.85831435,
